Title,Attachments,Author,Category,Collection,Due,Ownership,Status,Transcribed,URL,Unfinished
The Voice Is All: The Lonely Victory of Jack Kerouac: Joyce Johnson: 9780670025107: Amazon.com: Books,,,Non-Fiction,No,,,To Acquire: Non-Fiction,No,https://www.amazon.com/Voice-All-Lonely-Victory-Kerouac/dp/0670025100,No
How We Decide: Jonah Lehrer: 9780547247991: Amazon.com: Books,,,,No,,,To Acquire: Non-Fiction,No,https://www.amazon.com/How-We-Decide-Jonah-Lehrer/dp/0547247990,No
"The Art of Possibility: Transforming Professional and Personal Life: Rosamund Stone Zander, Benjamin Zander: 8580001054889: Amazon.com: Books",,,,No,,,To Acquire: Non-Fiction,No,https://www.amazon.com/gp/product/0142001104/ref=as_li_qf_asin_il_tl?ie=UTF8&tag=jamesclearema-20&creative=9325&linkCode=as2&creativeASIN=0142001104&linkId=db0f0c9190761df7de90f09d789f372a&__s=xukw5dtmsskwpwi4vai6,No
"The Courage to Be Disliked: The Japanese Phenomenon That Shows You How to Change Your Life and Achieve Real Happiness: Ichiro Kishimi, Fumitake Koga: 9781501197277: Amazon.com: Books",,,,No,,,To Acquire: Non-Fiction,No,https://www.amazon.com/Courage-Be-Disliked-Phenomenon-Happiness/dp/1501197274,No
"Amazon.com: Super Thinking: The Big Book of Mental Models eBook: Gabriel Weinberg, Lauren McCann: Kindle Store","https://www.amazon.com/Super-Thinking-Book-Mental-Models-ebook/dp/B07P8J83WR/ref=tmm_kin_swatch_0?_encoding=UTF8&qid=&sr=, Reading%20List/51ZAoMEef1L.jpg",,Non-Fiction,No,,,To Acquire: Non-Fiction,No,,No
Augmented: Life in the Smart Lane (Brett King),,,Non-Fiction,No,,,To Acquire: Non-Fiction,No,,No
Amusing Ourselves to Death: Public Discourse in the Age of Show Business (Neil Postman),,,Non-Fiction,No,,,To Acquire: Non-Fiction,No,,No
Weapons of Math Destruction: How Big Data Increases Inequality and Threatens Democracy (Cathy O'Neil),,,Non-Fiction,No,,,To Acquire: Non-Fiction,No,,No
Small Fry (Lisa Brennan-Jobs),,,Non-Fiction,No,,,To Acquire: Non-Fiction,No,,No
Liberalism Disavowed: Communitarianism and State Capitalism in Singapore (Chua Beng Huat),,,Non-Fiction,No,,,To Acquire: Non-Fiction,No,,No
We Are The Nerds (Christine Lagorio-Chafkin),,,Non-Fiction,No,,,To Acquire: Non-Fiction,No,,No
"A Contest for Supremacy: China, America, and the Struggle for Mastery in Asia (Aaron L. Friedberg)",,,Non-Fiction,No,,,To Acquire: Non-Fiction,No,,No
Smart People Should Build Things (Andrew Yang),,,Non-Fiction,No,,,To Acquire: Non-Fiction,No,,No
